Date,Open,High,Low,Price,Volume,Chg%
"Oct 29, 2021",77999.95,78400.00,76650.00,77308.15,9.4,-0.39%
"Oct 28, 2021",79373.00,79709.20,77300.00,77609.35,12.61,-2.22%
"Oct 27, 2021",80494.00,80575.00,79200.00,79372.80,6.72,-0.90%
"Oct 26, 2021",79500.00,80500.00,79283.70,80093.75,7.85,0.84%
"Oct 25, 2021",81499.95,81499.95,79016.45,79429.45,19.94,-1.70%
"Oct 22, 2021",81100.05,82273.25,80080.00,80800.40,24.05,-0.36%
"Oct 21, 2021",83278.80,83399.95,80900.55,81091.45,18.13,-1.73%
"Oct 20, 2021",83150.00,83382.45,81000.00,82516.55,28.02,-0.60%
"Oct 19, 2021",84839.00,85176.25,82589.35,83013.20,15.83,-1.54%
"Oct 18, 2021",85300.00,86900.00,84000.00,84314.10,20.49,-1.00%
"Oct 14, 2021",86335.00,86600.00,84999.90,85166.45,7.27,-1.09%
"Oct 13, 2021",86158.00,86800.00,85440.00,86106.55,11.97,0.57%
"Oct 12, 2021",85000.00,86199.95,84380.20,85617.50,16.69,0.81%
"Oct 11, 2021",85860.00,87550.00,84720.45,84932.90,28.67,-1.08%
"Oct 08, 2021",81300.00,86373.45,81100.10,85860.45,54.23,5.65%
"Oct 07, 2021",79149.95,81446.40,78860.10,81272.55,22.06,3.36%
"Oct 06, 2021",79645.00,79890.00,78500.00,78629.50,9.56,-0.98%
"Oct 05, 2021",79750.00,80070.00,79232.00,79407.20,5.36,-0.48%
"Oct 04, 2021",79477.20,80551.95,79400.00,79787.00,10.1,1.00%
"Oct 01, 2021",79000.00,79370.00,78510.00,78994.40,8.51,-0.48%
"Sep 30, 2021",79550.00,79679.95,78652.05,79375.55,16.38,0.40%
"Sep 29, 2021",80306.10,80431.50,78901.05,79056.70,25.73,-1.78%
"Sep 28, 2021",81759.40,81890.00,79810.00,80488.60,14.05,-1.72%
"Sep 27, 2021",79949.00,82000.00,79144.65,81893.40,20.93,3.07%
"Sep 24, 2021",80500.00,80690.00,79055.05,79456.50,11.1,-0.95%
"Sep 23, 2021",80600.00,80999.00,80001.55,80220.70,6.53,0.28%
"Sep 22, 2021",78500.00,80550.00,78500.00,79993.80,16.46,2.07%
"Sep 21, 2021",78870.00,79031.30,78050.00,78373.75,10.58,-0.64%
"Sep 20, 2021",79190.00,79950.00,78510.00,78875.45,11.74,-0.66%
"Sep 17, 2021",80000.00,80339.80,78851.00,79397.25,13.25,-0.72%
"Sep 16, 2021",80600.00,80600.00,79801.00,79971.70,6.46,-0.30%
"Sep 15, 2021",80521.00,80995.00,80116.65,80210.15,9.41,-0.27%
"Sep 14, 2021",80230.00,80847.05,80052.05,80423.85,9.96,0.22%
"Sep 13, 2021",79800.00,80407.10,79250.00,80243.60,7.15,0.47%
"Sep 09, 2021",80300.00,81469.95,79800.00,79867.90,14.45,-0.46%
"Sep 08, 2021",81380.00,81429.65,79810.00,80240.00,9.41,-1.04%
"Sep 07, 2021",81785.00,82300.00,80890.05,81084.70,11.93,-0.39%
"Sep 06, 2021",82700.00,83200.00,81278.75,81404.85,10.18,-1.21%
"Sep 03, 2021",81949.00,82600.10,81509.90,82397.85,15.76,1.39%
"Sep 02, 2021",80393.00,81875.55,80041.45,81265.15,14.95,1.64%
"Sep 01, 2021",80000.00,80559.95,79239.80,79954.65,10.79,0.27%
"Aug 31, 2021",78300.00,79855.05,78257.80,79742.75,14.86,1.99%
"Aug 30, 2021",77000.00,78374.95,77000.00,78185.50,9.05,1.60%
"Aug 27, 2021",76650.00,77332.65,76564.55,76953.45,6.62,0.51%
"Aug 26, 2021",77131.00,77265.00,76300.00,76564.55,8.39,-0.59%
